      Comparison1   Comparison2  I3D_pcomp_Prediction  I3D_ptarget_Prediction  I3D_pavg_Prediction  I3D_pcomp_MAP_Prediction  I3D_ptarget_MAP_Prediction  I3D_pavg_MAP_Prediction  I3D_pcomp_w_Prediction  I3D_ptarget_w_Prediction  I3D_pavg_w_Prediction  I3D_pcomp_MAP_w_Prediction  I3D_ptarget_MAP_w_Prediction  I3D_pavg_MAP_w_Prediction
181   o7_t2_ap_d1   o7_t2_ap_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
182   o7_t2_ap_d1   o7_t2_mf_d1                     0                       1                    1                         0                           0                        0                       0                         1                      1                           0                             0                          0
183   o7_t2_ap_d1   o7_t2_mf_d2                     0                       1                    1                         0                           0                        0                       0                         1                      1                           0                             0                          0
184   o7_t2_ap_d1   o7_t2_rp_d1                     0                       1                    0                         0                           0                        0                       0                         1                      0                           0                             0                          0
185   o7_t2_ap_d1   o7_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
186   o7_t2_ap_d2   o7_t2_mf_d1                     0                       1                    1                         0                           1                        1                       0                         1                      1                           0                             1                          1
187   o7_t2_ap_d2   o7_t2_mf_d2                     0                       1                    1                         0                           1                        1                       0                         1                      1                           0                             1                          1
188   o7_t2_ap_d2   o7_t2_rp_d1                     0                       1                    1                         0                           1                        1                       0                         1                      1                           0                             1                          1
189   o7_t2_ap_d2   o7_t2_rp_d2                     0                       1                    1                         0                           1                        1                       0                         1                      1                           0                             1                          1
190   o7_t2_mf_d1   o7_t2_mf_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
191   o7_t2_mf_d1   o7_t2_rp_d1                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
192   o7_t2_mf_d1   o7_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
193   o7_t2_mf_d2   o7_t2_rp_d1                     0                       1                    0                         0                           1                        0                       0                         1                      0                           0                             1                          0
194   o7_t2_mf_d2   o7_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
195   o7_t2_rp_d1   o7_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
196   o8_t1_cs_d1   o8_t1_cs_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
197   o8_t1_cs_d1   o8_t2_ap_d1                     0                       1                    1                         0                           1                        1                       0                         1                      1                           0                             1                          1
198   o8_t1_cs_d1   o8_t2_ap_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
199   o8_t1_cs_d1   o8_t2_mf_d1                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
200   o8_t1_cs_d1   o8_t2_mf_d2                     0                       1                    1                         0                           1                        1                       0                         1                      1                           0                             1                          1
